;K(mg);Cu(mg);Mn(mg);Wit.C(mg);Tiamina (B1)(mg/100 g);Kwas foliowy (µg);b-karoten (µg);Wit. A RAE;Wit. K (µg)
Gooseberry;198;0.07;144;27.7;0.04;6;0;15;0
Black lilac;280;61;0;36.0;0.07;6;0;30;0
Blueberry;77;57;336;9.7;37;6;32;3;19.3
Peach;190;68;61;6.6;24;4;162;16;2.6
Sweet Cherry;222;60;70;7.0;27;4;38;3;2.1
Pear;119;82;49;4.2;12;7;13;1;4.5
Apple;107;27;35;4.6;17;3;27;3;2.2
Blackberry;162;165;646;21.0;0.02;25;128;11;19.8
Raspberry;151;0.09;670;26.2;32;21;12;2;7.8
Apricot;259;78;77;10;0.03;9;1094;96;3.3
Black currant;322;86;256;181.0;0.05;0;0;12;0
Red currant;275;107;186;41.0;0.04;8;25;2;11
Plums;157;57;52;9.5;28;5;190;17;6.4
Strawberry;153;48;386;58.8;24;24;7;1;2.2
Grape;191;127;71;3.2;69;2;39;3;14.6
Cherry;173;104;112;10.0;0.03;8;770;64;2.1
Cranberry;85;61;360;13.3;12;1;36;3;5.1
Oranges;181;45;25;53.2;87;30;71;11;0
Grapefruit;139;47;12;34.4;36;10;552;46;0
Tangerine;166;42;39;26.7;58;16;155;34;0
Hazelnut;680;1725;6175;6.3;643;113;11;1;14.2
Walnut;441;1586;3414;1.3;349;98;12;1;2.7
